moisture_active1,moisture_active2,oxygen,lid,co2,time_stamp,device_id,temperature_curing1,temperature_curing2,moisture_curing1,moisture_curing2,automation_active,methane,temperature_active1,temperature_active2,temperature_active3,temperature_active4
14,17,13.43736935,open,6429,28/06/2024 18:06,YJWCHg,0,0,58,14,FALSE,1015,14,15,15,14
13,15,13.43736935,open,6495,28/06/2024 18:06,YJWCHg,0,0,74,22,FALSE,1007,14,15,15,14
13,15,13.45628166,open,6515,28/06/2024 18:06,YJWCHg,0,0,114,14,FALSE,903,14,15,15,14
13,17,13.44524956,open,6539,28/06/2024 18:06,YJWCHg,0,0,18,13,FALSE,1024,14,15,15,14
15,27,13.43185329,open,6454,28/06/2024 18:06,YJWCHg,0,0,150,14,FALSE,997,14,15,15,14
5,14,13.45746326,open,6478,28/06/2024 18:06,YJWCHg,0,0,92,13,FALSE,1158,14,15,15,14
16,16,13.46061611,open,6456,28/06/2024 18:06,YJWCHg,0,0,20,13,FALSE,1134,14,15,15,14
15,15,13.46731377,open,6485,28/06/2024 18:06,YJWCHg,0,0,119,12,FALSE,1068,14,15,15,14
14,15,13.45155334,open,6056,28/06/2024 18:06,YJWCHg,0,0,109,14,FALSE,1000,14,15,15,14
14,14,13.49016571,open,6151,28/06/2024 18:06,YJWCHg,0,0,13,14,FALSE,1114,14,15,15,14
15,14,13.48701382,open,6517,28/06/2024 18:06,YJWCHg,0,0,79,13,FALSE,800,14,15,15,14
10,16,13.51341152,open,6341,28/06/2024 18:06,YJWCHg,0,0,114,13,FALSE,793,14,15,15,14
15,16,13.50041008,open,6400,28/06/2024 18:06,YJWCHg,0,0,18,14,FALSE,995,14,15,15,14
13,14,13.49292374,open,6510,28/06/2024 18:06,YJWCHg,0,0,56,13,FALSE,1537,14,15,15,14
14,14,13.49765205,open,6454,28/06/2024 18:07,YJWCHg,0,0,140,14,FALSE,1021,14,15,15,14
15,14,13.47164822,open,6476,28/06/2024 18:07,YJWCHg,0,0,98,14,FALSE,964,14,15,15,14
15,16,13.47204208,open,6493,28/06/2024 18:07,YJWCHg,0,0,29,13,FALSE,982,14,15,15,14
18,15,13.46494961,open,6627,28/06/2024 18:07,YJWCHg,0,0,128,14,FALSE,978,14,15,15,14
15,15,13.46179771,open,6471,28/06/2024 18:07,YJWCHg,0,0,31,13,FALSE,1053,14,15,15,14
8,15,13.43894577,open,6420,28/06/2024 18:07,YJWCHg,0,0,57,15,FALSE,1062,14,15,15,14
15,14,13.4681015,open,6537,28/06/2024 18:07,YJWCHg,0,0,17,14,FALSE,1002,14,15,15,14
14,15,13.46770763,open,6449,28/06/2024 18:07,YJWCHg,0,0,80,14,FALSE,1074,14,15,15,14
13,9,13.49055958,open,6500,28/06/2024 18:07,YJWCHg,0,0,121,15,FALSE,1087,14,15,15,14
14,15,13.50356197,open,6500,28/06/2024 18:07,YJWCHg,0,0,14,14,FALSE,1046,14,15,15,14
14,15,13.51222992,open,6525,28/06/2024 18:07,YJWCHg,0,0,63,14,FALSE,1034,14,15,15,14
15,15,13.53429413,open,6468,28/06/2024 18:07,YJWCHg,0,0,99,19,FALSE,1097,14,15,15,14
14,15,13.54020405,open,6393,28/06/2024 18:07,YJWCHg,0,0,107,14,FALSE,1032,14,15,15,14
14,13,13.54453754,open,6490,28/06/2024 18:07,YJWCHg,0,0,57,13,FALSE,1074,14,15,15,14
13,16,13.53173256,open,6378,28/06/2024 18:07,YJWCHg,0,0,131,15,FALSE,1114,14,15,15,14
14,14,13.53370285,open,6483,28/06/2024 18:07,YJWCHg,0,0,84,13,FALSE,1586,14,15,15,14
-8,15,13.52109528,open,6461,28/06/2024 18:08,YJWCHg,0,0,58,14,FALSE,1025,14,15,15,14
18,16,13.52070045,open,6329,28/06/2024 18:08,YJWCHg,0,0,141,15,FALSE,1073,14,15,15,14
13,16,13.51479053,open,6520,28/06/2024 18:08,YJWCHg,0,0,96,14,FALSE,1136,14,15,15,14
15,17,13.51163864,open,6454,28/06/2024 18:08,YJWCHg,0,0,54,8,FALSE,1102,14,15,15,14
11,20,13.50809288,open,6446,28/06/2024 18:08,YJWCHg,0,0,145,14,FALSE,1113,14,15,15,14
15,14,13.49154472,open,6463,28/06/2024 18:08,YJWCHg,0,0,48,14,FALSE,1133,14,15,15,14
14,17,13.52109528,open,6481,28/06/2024 18:08,YJWCHg,0,0,71,15,FALSE,1095,14,15,15,14
13,13,13.5238533,open,6500,28/06/2024 18:08,YJWCHg,0,0,103,14,FALSE,1015,14,15,15,14
12,16,13.53035355,open,6517,28/06/2024 18:08,YJWCHg,0,0,56,13,FALSE,1345,14,15,15,14
13,15,13.5315361,open,6288,28/06/2024 18:08,YJWCHg,0,0,127,15,FALSE,1161,14,15,15,14
14,20,13.52089787,open,6437,28/06/2024 18:08,YJWCHg,0,0,58,11,FALSE,1037,14,15,15,14
15,17,13.52799034,open,6432,28/06/2024 18:08,YJWCHg,0,0,67,13,FALSE,1065,14,15,15,14
2,15,13.52286816,open,6442,28/06/2024 18:08,YJWCHg,0,0,131,15,FALSE,1073,14,15,15,14
12,15,13.52602005,open,6507,28/06/2024 18:08,YJWCHg,0,0,45,14,FALSE,862,14,15,15,14
16,16,13.51341152,open,6476,28/06/2024 18:08,YJWCHg,0,0,76,14,FALSE,1073,14,15,15,14
13,15,13.54493141,open,6581,28/06/2024 18:09,YJWCHg,0,0,103,14,FALSE,1063,14,14,15,14
14,15,13.51971626,open,6429,28/06/2024 18:09,YJWCHg,0,0,44,14,FALSE,1018,14,15,15,14
14,14,13.52523136,open,6456,28/06/2024 18:09,YJWCHg,0,0,145,17,FALSE,1032,14,15,15,14
16,16,13.54808426,open,6463,28/06/2024 18:09,YJWCHg,0,0,113,13,FALSE,974,14,15,15,14
14,11,13.56069183,open,6473,28/06/2024 18:09,YJWCHg,0,0,61,14,FALSE,1013,14,15,15,14
14,18,13.57723999,open,6429,28/06/2024 18:09,YJWCHg,0,0,45,15,FALSE,1073,14,15,15,14
15,16,13.58472633,open,6478,28/06/2024 18:09,YJWCHg,0,0,56,14,FALSE,1157,14,15,15,14
14,15,13.5993042,open,6473,28/06/2024 18:09,YJWCHg,0,0,136,14,FALSE,1045,14,15,15,14
16,7,13.61230564,open,6476,28/06/2024 18:09,YJWCHg,0,0,96,13,FALSE,1053,14,15,15,14
13,13,13.62451935,open,6476,28/06/2024 18:09,YJWCHg,0,0,51,14,FALSE,1128,14,15,15,14
14,15,13.60994148,open,6454,28/06/2024 18:09,YJWCHg,0,0,135,12,FALSE,1139,14,15,15,14
14,15,13.61506367,open,6498,28/06/2024 18:09,YJWCHg,0,0,115,13,FALSE,996,14,15,15,14
14,16,13.63476372,open,6446,28/06/2024 18:09,YJWCHg,0,0,56,13,FALSE,1119,14,15,15,14
12,15,13.63082409,open,6529,28/06/2024 18:09,YJWCHg,0,0,26,14,FALSE,1074,14,15,15,14
13,16,13.63712788,open,6551,28/06/2024 18:09,YJWCHg,0,0,129,11,FALSE,1078,14,15,15,14
14,15,13.63358212,open,6488,28/06/2024 18:09,YJWCHg,0,0,100,14,FALSE,1070,14,15,15,14
13,19,13.61979198,open,6498,28/06/2024 18:10,YJWCHg,0,0,41,11,FALSE,984,14,15,15,14
15,17,13.61900425,open,6444,28/06/2024 18:10,YJWCHg,0,0,17,13,FALSE,1285,14,15,15,14
14,15,13.60521412,open,6498,28/06/2024 18:10,YJWCHg,0,0,148,14,FALSE,991,14,15,15,14
13,15,13.60245609,open,6505,28/06/2024 18:10,YJWCHg,0,0,0,13,FALSE,1079,14,15,15,14
13,15,13.60836601,open,6488,28/06/2024 18:10,YJWCHg,0,0,-25,14,FALSE,1015,14,15,15,14
13,14,13.60915375,open,6527,28/06/2024 18:10,YJWCHg,0,0,65,15,FALSE,1113,14,15,15,14
14,15,13.58078575,open,6498,28/06/2024 18:10,YJWCHg,0,0,150,13,FALSE,1039,14,15,15,14
13,15,13.58039188,open,6478,28/06/2024 18:10,YJWCHg,0,0,70,14,FALSE,1197,14,15,15,14
14,13,13.58354378,open,6380,28/06/2024 18:10,YJWCHg,0,0,-16,14,FALSE,975,14,15,15,14
13,16,13.59615135,open,6446,28/06/2024 18:10,YJWCHg,0,0,21,15,FALSE,1161,14,15,15,14
13,15,13.62688351,open,6473,28/06/2024 18:10,YJWCHg,0,0,105,14,FALSE,1144,14,15,15,14
15,15,13.63791561,open,6442,28/06/2024 18:10,YJWCHg,0,0,109,15,FALSE,1158,14,15,15,14
15,16,13.66864777,open,6503,28/06/2024 18:10,YJWCHg,0,0,59,15,FALSE,1230,14,15,15,14
15,14,13.68795395,open,6525,28/06/2024 18:10,YJWCHg,0,0,-2,14,FALSE,1145,14,15,15,14
14,15,13.70844173,open,6449,28/06/2024 18:10,YJWCHg,0,0,27,14,FALSE,1152,14,15,15,14
16,15,13.71080589,open,6520,28/06/2024 18:10,YJWCHg,0,0,146,13,FALSE,1195,14,15,15,14
14,16,13.73562813,open,6473,28/06/2024 18:11,YJWCHg,0,0,54,13,FALSE,1076,14,15,-127,14
13,15,13.7777853,open,6520,28/06/2024 18:11,YJWCHg,0,0,10,13,FALSE,1200,14,15,15,14
15,14,13.77463341,open,6476,28/06/2024 18:11,YJWCHg,0,0,132,14,FALSE,1145,14,15,15,15
14,16,13.75808525,open,6424,28/06/2024 18:11,YJWCHg,0,0,-28,15,FALSE,725,14,15,15,15
14,15,13.72420216,open,6493,28/06/2024 18:11,YJWCHg,0,0,0,16,FALSE,1135,14,15,15,15
13,16,13.70410824,open,6407,28/06/2024 18:11,YJWCHg,0,0,147,16,FALSE,1139,14,15,15,15
18,16,13.70410824,open,6398,28/06/2024 18:11,YJWCHg,0,0,107,13,FALSE,1090,14,15,15,15
16,16,13.70568371,open,6459,28/06/2024 18:11,YJWCHg,0,0,8,13,FALSE,1134,14,15,15,15
15,14,13.66549587,open,6517,28/06/2024 18:11,YJWCHg,0,0,29,11,FALSE,1081,14,15,15,15
14,12,13.67495155,open,6652,28/06/2024 18:11,YJWCHg,0,0,135,11,FALSE,1087,14,15,15,15
15,12,13.64737225,open,6598,28/06/2024 18:11,YJWCHg,0,0,94,13,FALSE,1031,14,15,15,15
14,16,13.61191177,open,6471,28/06/2024 18:11,YJWCHg,0,0,-14,14,FALSE,1105,14,15,15,15
14,17,13.61624622,open,6451,28/06/2024 18:11,YJWCHg,0,0,40,13,FALSE,1199,14,15,15,15
15,16,13.63555145,open,6454,28/06/2024 18:11,YJWCHg,0,0,150,18,FALSE,1185,14,15,15,15
15,16,13.65328217,open,6503,28/06/2024 18:11,YJWCHg,0,0,48,14,FALSE,951,14,15,15,15
15,17,13.67179966,open,6449,28/06/2024 18:12,YJWCHg,0,0,148,14,FALSE,1222,14,15,15,15
19,16,13.67613411,open,6395,28/06/2024 18:12,YJWCHg,0,0,112,14,FALSE,1277,14,15,15,15
15,16,13.68992424,open,6588,28/06/2024 18:12,YJWCHg,0,0,-52,24,FALSE,1098,14,15,15,15
13,14,13.72892952,open,6637,28/06/2024 18:12,YJWCHg,0,0,-3,14,FALSE,1117,14,15,15,15
14,14,13.73208141,open,6522,28/06/2024 18:12,YJWCHg,0,0,74,13,FALSE,1217,14,15,15,15
15,5,13.76793575,open,6495,28/06/2024 18:12,YJWCHg,0,0,143,15,FALSE,1081,14,15,15,15
15,15,13.8006382,open,6493,28/06/2024 18:12,YJWCHg,0,0,111,13,FALSE,1101,14,15,15,15
13,18,13.79945564,open,6166,28/06/2024 18:12,YJWCHg,0,0,19,15,FALSE,1152,15,15,15,15
15,16,13.80930614,open,6383,28/06/2024 18:12,YJWCHg,0,0,69,12,FALSE,1097,14,15,15,15
15,15,13.81363964,open,6512,28/06/2024 18:12,YJWCHg,0,0,122,12,FALSE,1122,15,15,15,15
14,15,13.80733585,open,6473,28/06/2024 18:12,YJWCHg,0,0,150,13,FALSE,1006,15,15,15,15
22,15,13.79197025,open,6542,28/06/2024 18:12,YJWCHg,0,0,116,13,FALSE,1096,15,15,15,15
14,17,13.7876358,open,6434,28/06/2024 18:12,YJWCHg,0,0,56,11,FALSE,1012,15,15,15,15
12,14,13.79669762,open,6459,28/06/2024 18:12,YJWCHg,0,0,62,14,FALSE,1124,14,15,15,15
14,16,13.80142593,open,6454,28/06/2024 18:12,YJWCHg,0,0,132,13,FALSE,1096,14,15,15,15
16,14,13.79630375,open,6503,28/06/2024 18:12,YJWCHg,0,0,116,15,FALSE,865,14,15,15,15
16,16,13.77620983,open,6525,28/06/2024 18:13,YJWCHg,0,0,-54,14,FALSE,1148,14,15,15,15
12,16,13.76990604,open,6522,28/06/2024 18:13,YJWCHg,0,0,50,15,FALSE,1112,14,15,15,15
14,17,13.77305794,open,6402,28/06/2024 18:13,YJWCHg,0,0,148,13,FALSE,1096,14,15,15,15
14,16,13.76990604,open,6442,28/06/2024 18:13,YJWCHg,0,0,126,14,FALSE,1080,14,15,15,15
14,16,13.76990604,open,6517,28/06/2024 18:13,YJWCHg,0,0,97,13,FALSE,1111,14,15,15,15
31,15,13.78842354,open,6498,28/06/2024 18:13,YJWCHg,0,0,-42,14,FALSE,935,14,15,15,15
15,17,13.79275799,open,6510,28/06/2024 18:13,YJWCHg,0,0,91,13,FALSE,1096,14,15,15,15
14,16,13.75099373,open,6410,28/06/2024 18:13,YJWCHg,0,0,108,13,FALSE,1063,14,15,15,15
13,13,13.73956776,open,6525,28/06/2024 18:13,YJWCHg,0,0,-15,14,FALSE,1037,15,15,15,15
14,15,13.73680973,open,6405,28/06/2024 18:13,YJWCHg,0,0,10,14,FALSE,1131,15,15,15,15
11,16,13.73050594,open,6290,28/06/2024 18:13,YJWCHg,0,0,0,13,FALSE,1177,15,15,15,15
14,15,13.72735405,open,6439,28/06/2024 18:13,YJWCHg,0,0,150,14,FALSE,1107,15,15,15,15
9,10,13.69583416,open,6481,28/06/2024 18:13,YJWCHg,0,0,131,14,FALSE,1113,15,15,15,15
15,14,13.69544029,open,6483,28/06/2024 18:13,YJWCHg,0,0,-54,13,FALSE,1224,15,-127,15,15
14,15,13.70804787,open,6383,28/06/2024 18:13,YJWCHg,0,0,32,13,FALSE,1086,15,15,15,15
13,15,13.69544029,open,6446,28/06/2024 18:14,YJWCHg,0,0,123,14,FALSE,1131,15,15,15,15
14,15,13.68322563,open,6542,28/06/2024 18:14,YJWCHg,0,0,97,14,FALSE,1197,15,15,15,15
18,17,13.69977379,open,6454,28/06/2024 18:14,YJWCHg,0,0,-16,11,FALSE,1058,15,15,15,15
14,13,13.7064724,open,6542,28/06/2024 18:14,YJWCHg,0,0,53,13,FALSE,841,15,15,15,15
14,15,13.7186861,open,6525,28/06/2024 18:14,YJWCHg,0,0,140,17,FALSE,855,15,15,15,15
13,15,13.721838,open,6478,28/06/2024 18:14,YJWCHg,0,0,97,13,FALSE,959,15,15,15,15
13,14,13.73326397,open,6478,28/06/2024 18:14,YJWCHg,0,0,143,13,FALSE,1024,15,15,15,15
15,14,13.74902344,open,6525,28/06/2024 18:14,YJWCHg,0,0,-54,13,FALSE,1097,15,15,15,15
14,15,13.7624197,open,6542,28/06/2024 18:14,YJWCHg,0,0,23,13,FALSE,1078,15,15,15,15
15,16,13.75769234,open,6542,28/06/2024 18:14,YJWCHg,0,0,144,13,FALSE,1117,15,15,15,15
14,14,13.7580862,open,6451,28/06/2024 18:14,YJWCHg,0,0,96,15,FALSE,1070,15,15,15,15
14,6,13.7612381,open,6490,28/06/2024 18:14,YJWCHg,0,0,48,14,FALSE,1074,15,15,15,15
15,14,13.7864542,open,6520,28/06/2024 18:14,YJWCHg,0,0,150,13,FALSE,1117,15,15,15,15
14,14,13.78960609,open,6505,28/06/2024 18:14,YJWCHg,0,0,98,14,FALSE,1153,15,15,15,15
15,15,13.78684807,open,6510,28/06/2024 18:14,YJWCHg,0,0,-54,14,FALSE,1084,15,15,15,15
10,19,13.79630375,open,6461,28/06/2024 18:14,YJWCHg,0,0,-5,13,FALSE,1037,15,15,15,15
14,16,13.81166935,open,6485,28/06/2024 18:15,YJWCHg,0,0,48,13,FALSE,1231,15,15,15,15
11,15,13.82861137,open,6503,28/06/2024 18:15,YJWCHg,0,0,60,13,FALSE,1114,15,15,15,15
13,17,13.81245804,open,6432,28/06/2024 18:15,YJWCHg,0,0,36,14,FALSE,1083,15,15,15,15
14,14,13.80733585,open,6459,28/06/2024 18:15,YJWCHg,0,0,150,17,FALSE,1161,15,15,15,15
13,16,13.82624817,open,6446,28/06/2024 18:15,YJWCHg,0,0,141,14,FALSE,1115,15,15,15,15
15,16,13.82940006,open,6434,28/06/2024 18:15,YJWCHg,0,0,110,14,FALSE,1155,15,15,15,15
13,15,13.80970001,open,6503,28/06/2024 18:15,YJWCHg,0,0,79,21,FALSE,1094,15,15,15,15
13,14,13.8171854,open,6525,28/06/2024 18:15,YJWCHg,0,0,25,16,FALSE,1131,15,15,15,15
14,16,13.8203373,open,6246,28/06/2024 18:15,YJWCHg,0,0,62,14,FALSE,1003,15,15,15,15
21,14,13.80812359,open,6478,28/06/2024 18:15,YJWCHg,0,0,114,13,FALSE,1089,15,15,15,15
15,13,13.78724194,open,6522,28/06/2024 18:15,YJWCHg,0,0,44,13,FALSE,1076,15,15,15,15
15,15,13.7624197,open,6463,28/06/2024 18:15,YJWCHg,0,0,34,15,FALSE,1194,15,15,15,15
14,15,13.79393959,open,6503,28/06/2024 18:15,YJWCHg,0,0,54,12,FALSE,1196,15,15,15,15
14,20,13.79945564,open,6495,28/06/2024 18:15,YJWCHg,0,0,150,14,FALSE,1139,15,15,15,15
9,16,13.79236412,open,6603,28/06/2024 18:15,YJWCHg,0,0,120,14,FALSE,1102,15,15,15,15
13,15,13.78960609,open,6503,28/06/2024 18:15,YJWCHg,0,0,75,13,FALSE,1233,15,15,15,15
14,15,13.79354572,open,6444,28/06/2024 18:16,YJWCHg,0,0,25,14,FALSE,1100,15,15,15,15
13,0,13.80812359,open,6603,28/06/2024 18:16,YJWCHg,0,0,50,9,FALSE,1097,15,15,15,15
15,14,13.80930614,open,6507,28/06/2024 18:16,YJWCHg,0,0,134,13,FALSE,1126,15,15,15,15
14,16,13.83097553,open,6439,28/06/2024 18:16,YJWCHg,0,0,114,15,FALSE,1126,15,15,15,15
13,14,13.85185814,open,6498,28/06/2024 18:16,YJWCHg,0,0,101,11,FALSE,1057,15,15,15,15
14,15,13.87864971,open,6495,28/06/2024 18:16,YJWCHg,0,0,22,13,FALSE,1026,15,15,15,15
14,15,13.87864971,open,6507,28/06/2024 18:16,YJWCHg,0,0,49,13,FALSE,1053,15,15,15,15
16,15,13.89834976,open,6525,28/06/2024 18:16,YJWCHg,0,0,115,13,FALSE,1035,15,15,15,15
14,16,13.8991375,open,6442,28/06/2024 18:16,YJWCHg,0,0,73,13,FALSE,1079,15,15,15,15
14,15,13.91765594,open,6446,28/06/2024 18:16,YJWCHg,0,0,0,14,FALSE,1039,15,15,15,15
14,15,13.94090176,open,6468,28/06/2024 18:16,YJWCHg,0,0,50,13,FALSE,1142,15,15,15,15
13,13,13.95114613,open,6288,28/06/2024 18:16,YJWCHg,0,0,135,15,FALSE,1062,15,15,15,15
13,8,13.94011402,open,6454,28/06/2024 18:16,YJWCHg,0,0,150,13,FALSE,1015,15,15,15,15
13,14,13.94405365,open,6329,28/06/2024 18:16,YJWCHg,0,0,103,13,FALSE,1018,15,15,15,15
16,14,13.94247818,open,6415,28/06/2024 18:16,YJWCHg,0,0,47,13,FALSE,1035,15,15,15,15
13,16,13.95193386,open,6478,28/06/2024 18:17,YJWCHg,0,0,74,15,FALSE,1035,15,15,15,15
15,16,13.95508575,open,6456,28/06/2024 18:17,YJWCHg,0,0,98,13,FALSE,1058,15,15,15,15
14,18,13.94996357,open,6478,28/06/2024 18:17,YJWCHg,0,0,120,14,FALSE,1196,15,15,15,15
15,15,13.95350933,open,6446,28/06/2024 18:17,YJWCHg,0,0,107,13,FALSE,1053,15,15,15,15
15,14,13.9385376,open,6498,28/06/2024 18:17,YJWCHg,0,0,47,17,FALSE,736,15,15,15,15
14,12,13.92789936,open,6525,28/06/2024 18:17,YJWCHg,0,0,43,13,FALSE,395,15,15,15,15
11,14,13.92041397,open,6473,28/06/2024 18:17,YJWCHg,0,0,150,13,FALSE,393,15,15,15,15
14,15,13.93656731,open,6446,28/06/2024 18:17,YJWCHg,0,0,105,13,FALSE,400,15,15,15,15
13,14,13.92671776,open,6500,28/06/2024 18:17,YJWCHg,0,0,59,13,FALSE,442,15,15,15,15
14,17,13.92711163,open,6517,28/06/2024 18:17,YJWCHg,0,0,57,13,FALSE,626,15,15,15,15
11,19,13.90819931,open,6454,28/06/2024 18:17,YJWCHg,0,0,41,14,FALSE,518,15,15,15,15
15,14,13.89874363,open,6407,28/06/2024 18:17,YJWCHg,0,0,76,13,FALSE,509,15,15,15,15
15,14,13.89874363,open,6622,28/06/2024 18:17,YJWCHg,0,0,29,13,FALSE,565,15,15,15,15
14,15,13.91095734,open,6529,28/06/2024 18:17,YJWCHg,0,0,45,13,FALSE,586,15,15,15,15
14,15,13.91174507,open,6503,28/06/2024 18:17,YJWCHg,0,0,108,13,FALSE,665,15,15,15,15
14,15,13.91568565,open,6463,28/06/2024 18:17,YJWCHg,0,0,138,13,FALSE,579,15,15,15,15
15,16,13.92632389,open,6456,28/06/2024 18:18,YJWCHg,0,0,126,14,FALSE,675,15,15,15,15
14,15,13.92947578,open,6507,28/06/2024 18:18,YJWCHg,0,0,109,13,FALSE,644,15,15,15,15
14,14,13.92908192,open,6417,28/06/2024 18:18,YJWCHg,0,0,97,19,FALSE,692,15,15,15,15
13,15,13.92632389,open,6681,28/06/2024 18:18,YJWCHg,0,0,71,11,FALSE,703,15,15,15,15
13,15,13.92632389,open,6507,28/06/2024 18:18,YJWCHg,0,0,56,11,FALSE,792,15,15,15,15
11,16,13.92947578,open,6461,28/06/2024 18:18,YJWCHg,0,0,56,13,FALSE,932,15,15,15,15
12,16,13.91489792,open,6517,28/06/2024 18:18,YJWCHg,0,0,62,18,FALSE,670,15,15,15,15
14,15,13.90544128,open,6522,28/06/2024 18:18,YJWCHg,0,0,92,13,FALSE,778,15,15,15,15
13,14,13.91174603,open,6446,28/06/2024 18:18,YJWCHg,0,0,128,14,FALSE,709,15,15,15,15
14,15,13.90701771,open,6673,28/06/2024 18:18,YJWCHg,0,0,106,13,FALSE,689,15,15,15,15
14,14,13.89953232,open,6522,28/06/2024 18:18,YJWCHg,0,0,32,12,FALSE,800,15,15,15,15
14,16,13.91213989,open,6493,28/06/2024 18:18,YJWCHg,0,0,58,13,FALSE,1101,15,15,15,15
14,14,13.91213989,open,6405,28/06/2024 18:18,YJWCHg,0,0,119,13,FALSE,897,15,15,15,15
13,13,13.91726208,open,6542,28/06/2024 18:18,YJWCHg,0,0,59,12,FALSE,759,15,15,15,15
